time,ym,indmc,proddome,prodabroad,prodability,prodoper,prod,uib,uibmoney,numD,numDfull,numDpart,numE,numEfull,numEpart,matched,matchedfull,matchedpart,hire,hirefull,hirepart,EXIT,EXITfull,EXITpart,left,leftfull,leftpart,hour,hourfull,hourpart,wage_tot,wage_totfull,wage_totpart,E9
2010. 04,603,0,95.686,85.615,88.869,108.328,91.089,72210,,3000214,2792753,201154,66387,59546,6842,115095,77239,37857,106893,69128,37765,97874,64443,33431,61254,51302,9952,,,,,,,
2010. 05,604,0,95.781,87.707,89.228,108.722,92.443,70723,,3020902,2811531,201525,63182,56847,6335,108704,67421,41283,103646,62439,41208,89555,58116,31440,56312,48371,7941,,,,,,,
2010. 06,605,0,97.22,88.84,89.677,108.449,92.427,71394,,3033508,2820380,205170,62764,56038,6725,105732,63554,42178,101455,59899,41556,93238,61033,32205,59583,49789,9794,,,,,,,
2010. 07,606,0,96.932,89.625,90.036,109.224,93.339,71423,,3054848,2837865,208793,60208,54310,5898,115244,71019,44225,110566,66398,44168,94136,54271,39865,57638,44530,13108,,,,,,,
2010. 08,607,0,96.453,89.538,90.305,106.926,93.249,70268,,3063516,2846776,208240,67733,62172,5561,104031,67536,36495,100550,64381,36169,95673,62967,32706,63924,51899,12025,,,,,,,
2010. 09,608,0,96.548,89.625,90.754,106.739,93.069,68669,,3074435,2858760,206529,64812,59599,5213,101409,64865,36544,95802,59764,36038,91136,60031,31105,61345,49923,11422,,,,,,,
2010. 10,609,0,95.877,89.799,91.293,106.977,93.039,65616,,3095606,2885075,200849,53525,48323,5202,127690,81546,46145,118666,73075,45590,107055,65736,41319,70050,54717,15333,,,,,,,
2010. 11,610,0,98.466,89.974,91.472,107.434,93.854,64802,,3116716,2902433,204188,42521,39001,3520,118028,70388,47640,111888,65583,46305,97331,58673,38658,63686,49115,14570,,,,,,,
2010. 12,611,0,98.37,91.979,91.921,110.618,95.914,63068,,3110350,2902902,198063,39762,35287,4475,129813,72702,57111,121538,65606,55932,135469,63434,72035,66494,49211,17284,,,,,,,
2011. 01,612,0,101.726,94.42,92.639,111.665,98.621,64406,,3106012,2905411,190265,38108,35315,2794,150310,86814,63496,138445,75173,63271,155599,63584,92015,69987,50541,19447,191.9,194.8,136.5,3119614,3224633,1139528,
2011. 02,613,0,98.849,91.718,92.819,108.289,96.237,61862,,3118224,2919577,186392,41179,37099,4080,111512,67321,44191,104075,60731,43344,101219,60974,40245,66415,49713,16702,164.7,166.4,129.5,2798075,2881499,1160558,
2011. 03,614,0,100.575,93.025,93.268,109.713,97.978,66667,,3141679,2938859,190779,44113,40851,3262,136822,82222,54600,130496,76043,54453,113153,71228,41925,75925,58770,17155,198.3,200.8,149.5,2682528,2759045,1207487,
2011. 04,615,0,98.274,93.374,93.716,107.83,96.337,65040,,3163791,2958423,192247,46128,43082,3046,137319,84462,52858,132310,79800,52510,116287,71615,44672,77559,61277,16282,195.5,198,147.4,2746116,2825160,1224758,
2011. 05,616,0,99.616,93.2,93.716,108.571,97.382,66030,,3174559,2972182,188972,42352,39320,3032,131871,71716,60155,125781,66042,59739,121387,61829,59558,73003,52824,20179,189,191.1,148.4,2572724,2641569,1256525,
2011. 06,617,0,100.384,93.723,93.896,109.403,97.922,66104,,3187091,2991957,180845,44381,41118,3263,133946,73179,60768,129692,68983,60709,122298,66088,56210,73418,55979,17439,194.5,197,149.5,2827655,2912481,1274459,
2011. 07,618,0,100,94.769,94.075,108.468,98.232,66595,,3205334,3009210,182609,41438,39002,2436,137542,74805,62738,132997,70737,62260,118525,64040,54485,69683,50988,18695,193.4,195.7,151.6,3117664,3215112,1298342,
2011. 08,619,0,100.671,93.984,94.255,107.32,98.198,67269,,3214258,3018525,181496,41012,38611,2402,118808,65309,53499,114833,61420,53412,110606,62376,48230,69310,50961,18349,186.6,188.8,144.2,3036323,3129635,1269185,
2011. 09,620,0,100.384,95.815,94.434,107.435,98.054,65588,,3220557,3033688,172545,38145,35650,2495,110873,65997,44876,105470,60612,44858,104661,60839,43822,61641,45994,15647,182,183.8,142.5,3020260,3100540,1330437,
