time,ym,indmc,proddome,prodabroad,prodability,prodoper,prod,uib,ut,numD,numDfull,numDpart,numE,cpi,exchangerate,numEfull,numEpart,matched,matchedfull,matchedpart,hire,hirefull,hirepart,EXIT,EXITfull,EXITpart,left,leftfull,leftpart,hour,hourfull,hourpart,wage_tot,wage_totfull,wage_totpart,E9,wsim
2014. 01,648,0,101.055,101.046,98.564,105.191,102.561,66895,,3451943,3281946,160085,51653,93.73,1070.4,47845,3808,129620,79075,50545,120220,69804,50416,120114,75745,44369,62799,49714,13085,180.8,182.7,136,4360984,4492243,1344157,154774,
2014. 02,649,0,99.712,99.913,98.384,103.201,101.396,66348,,3464799,3299547,154988,55239,93.98,1067.5,51299,3940,127387,75775,51612,116736,65151,51585,114882,73865,41017,71386,56800,14586,178.2,180.3,131.2,3104569,3185141,1279237,155114,
2014. 03,650,0,100.288,101.744,98.474,104.604,101.711,67953,,3476928,3310574,156123,60326,94.153,1064.7,56948,3377,134582,81828,52753,127628,74908,52720,122421,84208,38213,82480,66451,16029,189.1,191.5,135,3107685,3188306,1278651,154948,
2014. 04,651,0,100.096,100.61,98.384,105.148,101.619,70558,,3498104,3329640,157138,57111,94.214,1033.2,53703,3409,133594,83358,50235,126926,76861,50065,113513,77528,35985,78192,62958,15233,195.6,198.1,137.4,3146240,3227833,1301663,158498,
2014. 05,652,0,98.37,99.564,98.654,100.806,98.758,68461,,3503192,3337169,155146,54965,94.369,1020.1,52023,2942,112234,67629,44605,108010,63507,44504,106697,73425,33272,74022,57248,16774,178.8,180.8,133.7,2952241,3025196,1315554,161778,
2014. 06,653,0,101.055,101.221,98.833,103.154,101.844,69439,,3521040,3349013,160795,48514,94.248,1011.8,46335,2179,124151,73965,50186,119249,69264,49985,106658,75557,31100,75744,61420,14324,180.3,182,138.9,3224541,3300065,1423127,161427,
2014. 07,654,0,101.151,100.087,99.102,104.145,102.774,74776,,3540099,3361315,167480,44083,94.386,1027.9,41886,2198,119403,71719,47685,115820,68157,47663,100417,72456,27961,75158,59515,15643,198.7,200.9,147.6,3348519,3429668,1416686,162473,
2014. 08,655,0,98.37,100.262,99.372,99.868,99.332,73609,,3542312,3375045,155698,44158,94.551,1014,41576,2582,112339,62209,50130,108114,58213,49901,110390,67670,42720,72672,54215,18457,171.6,173.3,133.1,3318701,3401256,1372922,166940,
2014. 09,656,0,97.987,99.477,99.641,99.732,98.731,73562,,3552395,3382891,158023,43301,94.49,1055.2,40619,2682,125407,69063,56345,119956,63616,56340,115237,73515,41722,77886,59310,18576,173.3,174.9,130.4,3498037,3581201,1383390,167704,
2014. 10,657,0,96.932,98.518,99.731,98.833,97.272,71317,,3568286,3394376,162221,49244,94.205,1068.5,45896,3348,130987,73235,57752,125993,68309,57683,115303,74856,40446,77595,60917,16678,188.4,190.4,137.4,3290026,3362370,1455724,167789,
