time,ym,indmc,proddome,prodabroad,prodability,prodoper,prod,uib,ut,numD,numDfull,numDpart,numE,cpi,exchangerate,numEfull,numEpart,matched,matchedfull,matchedpart,hire,hirefull,hirepart,EXIT,EXITfull,EXITpart,left,leftfull,leftpart,hour,hourfull,hourpart,wage_tot,wage_totfull,wage_totpart,E9,wsim
2020. 10,729,0,102.6,106.2,105.2,98.9,109.1,132084,8.734534,3647798,3506190,115739,34048,100.18,1135.1,32627,1420,117099,68632,48467,103631,55628,48002,116992,70509,46483,47840,43932,3908,163.4,165.1,111.5,3739682,3803902,1749566,151091,20.73703483
2020. 11,730,0,102,104.7,105.2,98.5,109.6,123637,8.507771,3650886,3507545,117450,35184,100.09,1106.5,33988,1195,114416,68201,46215,102798,56685,46113,111350,67292,44058,50588,46670,3917,178,179.9,119,3680945,3740656,1770842,148375,21.8191896
2020. 12,731,0,102,110.4,106.5,98.5,111.4,118784,8.611032,3647536,3503706,117541,34543,100.33,1086.3,33337,1207,113282,68984,44298,101571,57364,44207,117031,73223,43808,51140,47190,3950,181.8,183.8,120.4,4711782,4806869,1879339,146004,22.96734822
2021. 01,732,0,102.1,110.8,106.3,97.9,111.9,120600,8.533405,3648470,3497348,125658,35175,101.04,1118.8,34585,590,133945,88784,45161,118972,74172,44800,132185,88756,43429,54619,50606,4013,170.8,172.4,121,4851097,4949649,1804677,143766,24.06780105
2021. 02,733,0,103.5,113.9,105.8,101.2,115.8,120377,8.165968,3644796,3495176,124859,42074,101.58,1123.5,40672,1402,112170,67843,44327,100288,56107,44181,115141,69559,45582,51243,46531,4712,154,155.3,109.7,4605898,4683393,2022289,140506,25.05202598
2021. 03,734,0,102.5,113.3,106.4,99.5,115.1,123524,8.302785,3656235,3498887,132067,47977,101.84,1131.8,46529,1448,137915,82830,55085,128299,73529,54769,126997,79213,47783,62647,57303,5344,183.6,185.5,122.7,3937067,4001464,1884611,136968,25.88850275
2021. 04,735,0,102.3,112.1,105.9,99.6,113.2,119972,8.346949,3657801,3498305,133819,51268,101.98,1112.3,50044,1224,137090,82079,55011,128009,73239,54770,135920,82584,53335,63643,58862,4781,183.9,185.7,126.7,3904215,3966759,1895658,133422,26.54516152
2021. 05,736,0,101,113.1,105.7,98.6,112.8,115692,7.789824,3658997,3496534,136623,50229,102.05,1110.9,49082,1147,121327,68810,52517,114411,62016,52395,120294,70879,49415,56871,52838,4033,164.8,166.2,117.8,3766853,3826484,1803478,132503,27.04295551
2021. 06,737,0,101.8,110.6,105.9,98.9,114.5,116439,7.9891,3659387,3491537,140462,52225,102.05,1126.1,50928,1297,129843,73300,56542,121213,65273,55940,131000,78642,52358,62110,56836,5273,183.9,185.9,120.8,3876911,3940530,1808591,130041,27.4107204
2021. 07,738,0,101.4,111.6,105.6,99.3,114.6,116110,7.701356,3662565,3490471,144895,52149,102.26,1150.3,50747,1403,124456,73973,50484,116322,66140,50182,121088,75175,45913,63046,57642,5405,182.1,184,123.4,4382836,4449644,2261016,131175,27.71529331
2021. 08,739,0,101.1,109.6,105.8,100.6,116,113648,8.284825,3664405,3491176,145621,54698,102.75,1159.5,53021,1677,118172,68463,49709,110524,61249,49275,116743,67262,49481,55603,50151,5452,166.5,168,117.8,3948550,4015152,1845817,130455,28.02055439
2021. 09,740,0,98.8,109.4,106,98.9,112.9,109998,7.982484,3674535,3497340,149527,54877,103.17,1184,53111,1766,116827,64719,52107,109871,57996,51875,106756,59263,47493,50181,44862,5320,159.8,161.2,115.1,4582001,4663629,2055519,130304,28.38363232
2021. 10,741,0,99.5,109.3,106,98.8,113.3,103069,7.924807,3673407,3496820,148872,56112,103.35,1168.6,54229,1883,123957,70793,53164,114571,61662,52909,125132,71596,53536,57865,52246,5619,164,165.5,117.1,3916419,3977473,1979445,129729,28.84466237
2021. 11,742,0,100.7,111.9,106.1,100.9,115.3,94372,7.183602,3683366,3500849,154159,54877,103.87,1187.9,53503,1374,125664,71084,54580,117783,63530,54253,116349,67206,49143,57451,52383,5068,183.1,184.9,124.6,3823130,3883616,1906731,129394,29.44955728
2021. 12,743,0,103.2,118.5,106.2,104.2,119.6,90568,7.291403,3675759,3495909,152103,61673,104.04,1188.8,60217,1456,125377,69068,56309,116496,60745,55751,132372,74506,57866,59680,54561,5120,186,188.1,121.1,5270986,5377381,2112076,129393,30.20186257
2022. 01,744,0,104.2,118.3,105.3,105.2,119.7,96584,7.304881,3679093,3496965,154261,63595,104.69,1205.5,62071,1524,149196,92038,57158,135903,79269,56634,145983,90409,55574,59430,53897,5533,169.1,170.9,117.7,6401136,6545531,2171029,129808,31.0466357
2022. 02,745,0,,,,103.4,,96505,7.362857,3685781,,,66470,105.3,1202.3,,,118829,74603,44226,109485,65622,43863,111589,68501,43088,54933,50141,4792,151.8,,,4184522,,,,31.87023946
2022. 03,746,0,,,,104.8,,101992,6.749245,3698416,,,69922,106.06,1212.1,,,,,,,,,,,,,,,174,,,4254742,,,,32.55166378
2022. 04,747,0,,,,103,,102192,,3699215,,,69512,106.85,1255.9,,,,,,,,,,,,,,,175.8,,,3973578,,,,33.004894
2022. 05,748,0,,,,101.6,,101650,,3704383,,,70970,107.56,1237.2,,,,,,,,,,,,,,,175,,,4044148,,,,33.17486108
2022. 06,749,0,,,,102.7,,100068,,3707027,,,73511,108.22,1298.4,,,,,,,,,,,,,,,169.9,,,4082921,,,,33.09228924
2022. 07,750,0,,,,101,,101685,,3706734,,,71010,108.74,1299.1,,,,,,,,,,,,,,,174.5,,,4537820,,,,32.81982907
2022. 08,751,0,,,,101,,101926,,3721686,,,67942,108.62,1337.6,,,,,,,,,,,,,,,,,,,,,,32.45600273
