time,ym,indmc,proddome,prodabroad,prodability,prodoper,prod,uib,uibmoney,numD,numDfull,numDpart,numE,numEfull,numEpart,matched,matchedfull,matchedpart,hire,hirefull,hirepart,EXIT,EXITfull,EXITpart,left,leftfull,leftpart,hour,hourfull,hourpart,wage_tot,wage_totfull,wage_totpart,E9
2021. 07,738,10,107.8,128.4,106.8,103.1,110.1,11109,17796195650,274010,247635,25150,4925,4657,269,12303,6102,6202,11747,5574,6173,12938,6670,6268,6619,5317,1302,179.3,182.9,125.3,3137298,3249328,1428695,8891
2021. 08,739,10,109,142.3,106.9,104.1,110.3,10978,18390411470,274645,247104,26356,5593,4869,724,14285,5838,8446,13927,5501,8425,13610,6070,7540,5950,4649,1301,170.9,175.3,111.5,3049220,3183633,1241024,8849
2021. 09,740,10,107.3,137.2,106.4,104.3,111.2,10644,17729814270,276573,248205,27184,5737,5068,670,16149,6208,9941,15566,5639,9928,14219,5499,8720,5924,4622,1302,160.8,165.5,108.7,3520780,3717760,1315739,8843
2021. 10,741,10,108.7,138.6,106,105.4,111.7,9874,16440455500,275652,247155,27320,5293,4849,444,14196,6719,7477,13510,6051,7459,15110,7831,7279,6834,5892,941,164.9,168.6,116.1,3057183,3181652,1392068,8824
2021. 11,742,10,112.2,141.6,105.7,107.7,113.7,9398,15201217420,277266,247819,28270,4969,4594,375,14304,7303,7001,13549,6576,6973,12690,6556,6134,6190,5193,998,182.7,186.5,126.7,3076622,3185601,1457298,8828
2021. 12,743,10,111.9,148.9,105.5,109.7,116.3,8983,14791219530,275468,247193,27101,5111,4669,442,14060,6385,7675,13566,5915,7651,15855,6965,8889,6564,5480,1083,184.4,189.4,118.9,3651370,3825771,1380966,8822
2022. 01,744,10,110.4,145.4,104.4,108.7,113.5,9368,15251634290,274069,246750,26253,5478,5051,427,18571,8575,9995,17289,7461,9828,19861,8539,11322,7157,5641,1516,169.3,173.9,120,3651031,3845480,1539584,8864
2022. 02,745,10,107.8,142.5,104.1,107.8,110.9,9427,14197572400,273577,245900,26593,6847,6427,420,13805,5850,7955,13466,5518,7948,14316,6680,7636,5595,4710,885,151,154.2,106.6,3130141,3265017,1281828,8864
2022. 03,746,10,116,144.2,104.3,112.8,118.5,10087,16691125340,275353,246779,27487,6484,6286,199,14457,7452,7005,13837,6838,6999,12683,6410,6273,6493,5211,1282,173.2,176.7,120.2,3148052,3259195,1490482,8909
2022. 04,747,10,109.3,138,102.2,110,112.1,10058,16166111380,274879,246479,27207,6241,5791,450,13482,7022,6460,12995,6585,6410,14062,7324,6738,6757,5755,1002,175.6,180.1,112.2,3108768,3235283,1329713,8875
2022. 05,748,10,110.8,155.1,102.4,111.3,114.1,10028,16983599490,276094,246959,27928,6167,5286,881,13871,6914,6957,13586,6646,6939,12670,6457,6213,6436,5441,995,175.1,180.2,106.9,3089339,3219503,1335308,8938
2022. 06,749,10,114.9,139.1,101.8,115.4,117.3,9956,16319527640,275190,246114,27889,6816,6040,776,12948,5966,6982,12573,5613,6960,13833,7034,6799,7184,6040,1144,169.4,173.1,115.4,3232879,3360451,1403741,8973
2022. 07,750,10,110.9,132.3,100.1,114,114.1,10195,16121613030,274323,244831,28308,7193,6585,608,13780,6890,6890,13164,6307,6856,14643,8105,6538,7747,6233,1514,171.5,175,121,3269310,3396090,1458649,9151
2022. 08,751,10,113.5,131.7,100.6,116.7,115.9,10293,17810231420,277565,245811,30462,6507,5751,756,17108,7419,9688,16590,6928,9662,13975,6441,7534,6358,4847,1510,174.3,179.8,107.7,3256230,3416475,1299834,9657
2022. 09,752,10,108.1,124,100,112.7,112.7,9786,16883940020,277148,246240,29531,6045,5214,831,17857,6978,10880,17086,6351,10735,18359,6453,11906,6844,5475,1369,165.9,170.5,110.1,3607045,3785401,1446019,10269
2022. 10,753,10,,,,,,9340,15018860270,,,,,,,,,,,,,,,,,,,,,,,,,10855
2009. 06,593,11,84.355,48.085,90.188,95.865,84.532,,,14650,13250,1400,114,92,22,394,150,244,393,149,244,523,197,326,198,171,27,,,,,,,
2009. 07,594,11,87.71,58.739,90.625,99.321,86.523,,,14729,13260,1468,114,99,15,740,255,485,679,205,474,661,248,413,209,161,48,,,,,,,
